TCGA-BA-4074-01	TCGA-BA-4076-01	TCGA-BA-4077-01	TCGA-BA-4078-01	TCGA-BA-5149-01	TCGA-BA-5151-01	TCGA-BA-5152-01	TCGA-BA-5153-01	TCGA-BA-5555-01	TCGA-BA-5556-01	TCGA-BA-5557-01	TCGA-BA-5558-01	TCGA-BA-5559-01	TCGA-BA-6868-01	TCGA-BA-6869-01	TCGA-BA-6870-01	TCGA-BA-6871-01	TCGA-BA-6872-01	TCGA-BA-6873-01	TCGA-BA-7269-01	TCGA-BB-4217-01	TCGA-BB-4223-01	TCGA-BB-4224-01	TCGA-BB-4225-01	TCGA-BB-4228-01	TCGA-CN-4723-01	TCGA-CN-4725-01	TCGA-CN-4726-01	TCGA-CN-4727-01	TCGA-CN-4728-01	TCGA-CN-4729-01	TCGA-CN-4730-01	TCGA-CN-4731-01	TCGA-CN-4733-01	TCGA-CN-4735-01	TCGA-CN-4736-01	TCGA-CN-4737-01	TCGA-CN-4738-01	TCGA-CN-4739-01	TCGA-CN-4740-01	TCGA-CN-4741-01	TCGA-CN-4742-01	TCGA-CN-5355-01	TCGA-CN-5356-01	TCGA-CN-5359-01	TCGA-CN-5360-01	TCGA-CN-5363-01	TCGA-CN-5364-01	TCGA-CN-5365-01	TCGA-CN-5366-01	TCGA-CN-5367-01	TCGA-CN-5369-01	TCGA-CN-5370-01	TCGA-CN-5373-01	TCGA-CN-5374-01	TCGA-CN-6010-01	TCGA-CN-6011-01	TCGA-CN-6012-01	TCGA-CN-6013-01	TCGA-CN-6016-01	TCGA-CN-6018-01	TCGA-CN-6019-01	TCGA-CN-6020-01	TCGA-CN-6021-01	TCGA-CN-6022-01	TCGA-CN-6023-01	TCGA-CN-6024-01	TCGA-CN-6988-01	TCGA-CN-6989-01	TCGA-CN-6992-01	TCGA-CN-6994-01	TCGA-CN-6995-01	TCGA-CN-6997-01	TCGA-CN-6998-01	TCGA-CQ-5323-01	TCGA-CQ-5324-01	TCGA-CQ-5325-01	TCGA-CQ-5326-01	TCGA-CQ-5329-01	TCGA-CQ-5330-01	TCGA-CQ-5331-01	TCGA-CQ-5332-01	TCGA-CQ-5334-01	TCGA-CQ-6218-01	TCGA-CQ-6220-01	TCGA-CQ-6221-01	TCGA-CQ-6223-01	TCGA-CQ-6224-01	TCGA-CQ-6225-01	TCGA-CQ-6228-01	TCGA-CQ-6229-01	TCGA-CQ-7065-01	TCGA-CQ-7068-01	TCGA-CR-5243-01	TCGA-CR-5247-01	TCGA-CR-5248-01	TCGA-CR-5250-01	TCGA-CR-6470-01	TCGA-CR-6471-01	TCGA-CR-6472-01	TCGA-CR-6473-01	TCGA-CR-6474-01	TCGA-CR-6477-01	TCGA-CR-6478-01	TCGA-CR-6481-01	TCGA-CR-6484-01	TCGA-CR-6487-01	TCGA-CR-6491-01	TCGA-CR-6492-01	TCGA-CR-6493-01	TCGA-CR-7364-01	TCGA-CR-7365-01	TCGA-CR-7367-01	TCGA-CR-7368-01	TCGA-CR-7370-01	TCGA-CR-7371-01	TCGA-CR-7373-01	TCGA-CR-7374-01	TCGA-CR-7376-01	TCGA-CR-7377-01	TCGA-CR-7379-01	TCGA-CR-7380-01	TCGA-CR-7382-01	TCGA-CR-7383-01	TCGA-CR-7385-01	TCGA-CR-7386-01	TCGA-CR-7388-01	TCGA-CR-7389-01	TCGA-CR-7390-01	TCGA-CR-7391-01	TCGA-CR-7394-01	TCGA-CR-7395-01	TCGA-CR-7397-01	TCGA-CR-7398-01	TCGA-CR-7399-01	TCGA-CR-7401-01	TCGA-CR-7402-01	TCGA-CR-7404-01	TCGA-CV-5430-01	TCGA-CV-5431-01	TCGA-CV-5432-01	TCGA-CV-5434-01	TCGA-CV-5435-01	TCGA-CV-5436-01	TCGA-CV-5439-01	TCGA-CV-5440-01	TCGA-CV-5441-01	TCGA-CV-5442-01	TCGA-CV-5444-01	TCGA-CV-5966-01	TCGA-CV-5970-01	TCGA-CV-5971-01	TCGA-CV-5973-01	TCGA-CV-5976-01	TCGA-CV-5977-01	TCGA-CV-5978-01	TCGA-CV-5979-01	TCGA-CV-6003-01	TCGA-CV-6436-01	TCGA-CV-6441-01	TCGA-CV-6933-11	TCGA-CV-6933-01	TCGA-CV-6934-11	TCGA-CV-6934-01	TCGA-CV-6935-11	TCGA-CV-6935-01	TCGA-CV-6936-11	TCGA-CV-6936-01	TCGA-CV-6937-01	TCGA-CV-6938-11	TCGA-CV-6938-01	TCGA-CV-6939-11	TCGA-CV-6940-01	TCGA-CV-6941-01	TCGA-CV-6942-01	TCGA-CV-6943-11	TCGA-CV-6943-01	TCGA-CV-6945-01	TCGA-CV-6948-01	TCGA-CV-6950-01	TCGA-CV-6951-01	TCGA-CV-6952-01	TCGA-CV-6953-01	TCGA-CV-6954-01	TCGA-CV-6955-11	TCGA-CV-6955-01	TCGA-CV-6956-11	TCGA-CV-6956-01	TCGA-CV-6959-11	TCGA-CV-6959-01	TCGA-CV-6960-11	TCGA-CV-6960-01	TCGA-CV-6961-11	TCGA-CV-6961-01	TCGA-CV-6962-11	TCGA-CV-6962-01	TCGA-CV-7089-01	TCGA-CV-7090-01	TCGA-CV-7091-11	TCGA-CV-7091-01	TCGA-CV-7095-01	TCGA-CV-7097-11	TCGA-CV-7097-01	TCGA-CV-7099-01	TCGA-CV-7100-01	TCGA-CV-7101-11	TCGA-CV-7101-01	TCGA-CV-7102-01	TCGA-CV-7103-11	TCGA-CV-7103-01	TCGA-CV-7104-01	TCGA-CV-7177-11	TCGA-CV-7177-01	TCGA-CV-7178-11	TCGA-CV-7178-01	TCGA-CV-7180-01	TCGA-CV-7183-11	TCGA-CV-7183-01	TCGA-CV-7235-11	TCGA-CV-7235-01	TCGA-CV-7236-01	TCGA-CV-7238-11	TCGA-CV-7238-01	TCGA-CV-7242-11	TCGA-CV-7242-01	TCGA-CV-7243-01	TCGA-CV-7245-11	TCGA-CV-7245-01	TCGA-CV-7247-01	TCGA-CV-7248-01	TCGA-CV-7250-11	TCGA-CV-7250-01	TCGA-CV-7252-11	TCGA-CV-7252-01	TCGA-CV-7253-01	TCGA-CV-7254-01	TCGA-CV-7255-11	TCGA-CV-7255-01	TCGA-CV-7261-11	TCGA-CV-7261-01	TCGA-CV-7263-01	TCGA-CV-7406-11	TCGA-CV-7406-01	TCGA-CV-7407-01	TCGA-CV-7410-01	TCGA-CV-7411-01	TCGA-CV-7413-01	TCGA-CV-7414-01	TCGA-CV-7415-01	TCGA-CV-7416-11	TCGA-CV-7416-01	TCGA-CV-7418-01	TCGA-CV-7422-01	TCGA-CV-7423-11	TCGA-CV-7423-01	TCGA-CV-7424-11	TCGA-CV-7424-01	TCGA-CV-7425-11	TCGA-CV-7427-01	TCGA-CV-7429-01	TCGA-CV-7430-01	TCGA-CV-7432-11	TCGA-CV-7432-01	TCGA-CV-7433-01	TCGA-CV-7434-11	TCGA-CV-7434-01	TCGA-CV-7435-01	TCGA-CV-7437-11	TCGA-CV-7437-01	TCGA-CV-7438-11	TCGA-CV-7438-01	TCGA-CV-7440-11	TCGA-CV-7440-01	TCGA-CX-7082-01	TCGA-CX-7085-01	TCGA-CX-7086-01	TCGA-CX-7219-01	TCGA-D6-6515-01	TCGA-D6-6516-01	TCGA-D6-6517-01	TCGA-D6-6823-01	TCGA-D6-6824-01	TCGA-D6-6825-01	TCGA-D6-6826-01	TCGA-DQ-5624-01	TCGA-DQ-5625-01	TCGA-DQ-5629-01	TCGA-DQ-5631-01	TCGA-DQ-7588-01	TCGA-DQ-7591-01	TCGA-DQ-7592-01	TCGA-F7-7848-01	TCGA-H7-7774-01	TCGA-H7-A6C4-11	TCGA-H7-A6C5-11	TCGA-HD-7229-01	TCGA-HD-7753-01	TCGA-HD-7754-01	TCGA-HD-8635-11	TCGA-HD-A6HZ-11	TCGA-HD-A6I0-11	TCGA-IQ-7630-01	TCGA-IQ-7631-01	TCGA-IQ-7632-01	TCGA-WA-A7GZ-11
CD200R1	20	13	121	174	23	66	55	126	40	99	24	38	273	24	25	48	38	7	14	5	199	80	39	65	38	50	5	25	18	60	16	3	20	150	109	105	34	330	87	78	39	25	16	18	120	159	12	40	19	34	33	77	107	81	93	48	11	240	130	45	27	32	27	23	47	156	5	63	61	59	31	47	34	15	29	21	98	17	33	24	124	21	40	26	21	24	37	77	21	37	40	3	113	81	4	118	109	144	63	26	10	21	60	168	354	84	414	12	43	7	192	7	61	132	25	90	32	62	357	117	33	42	165	76	81	49	163	91	12	112	89	37	32	36	120	27	60	107	98	68	4	23	10	25	41	7	9	14	23	21	13	130	4	13	3	17	4	11	28	65	19	16	2119	173	568	29	253	50	8	630	62	23	46	44	64	65	199	12	97	7	5	12	19	13	425	72	15	2	109	20	239	12	17	37	765	37	125	43	25	21	10	107	68	166	28	251	123	32	53	24	54	81	15	141	51	8	403	2	51	42	27	40	57	641	400	9	241	7	15	101	666	22	63	16	16	104	241	8	460	15	41	133	99	57	185	9	41	31	16	4	37	30	19	181	9	771	34	68	70	57	33	9	5	99	38	14	54	920	36	92	17	3280	16	25	88	21	36	1665	50	54	17	1885	144	164	25	127	5	30	2	111	5	67	38	13	213	32	24	83	76	2	8	26	8	1	33
CDH20	6	6	72	50	5	6	24	26	8	3	3	0	49	17	1	13	4	3	10	0	3	17	34	69	62	1	24	7	0	14	26	0	10	37	149	8	10	12	22	4	42	4	6	6	4	10	15	26	12	4	137	9	39	31	9	5	0	2	6	25	6	5	3	3	48	1	3	2	56	3	14	5	4	2	2	1	34	0	4	22	3	5	3	1	0	0	3	106	10	5	25	1	1	38	2	2	17	20	9	4	19	7	10	4	7	6	8	2	2	1	21	5	16	11	2	8	5	5	29	12	3	4	8	36	8	32	13	12	2	18	1	0	16	1	17	22	27	13	47	31	3	4	3	6	9	49	2	10	28	0	25	198	0	3	5	1	8	3	1	54	3	12	1	14	16	1	38	3	4	26	2	892	18	4	2	7	11	0	1	27	11	3	1	15	12	12	176	19	331	78	16	17	7	27	10	1	38	24	811	10	17	97	12	2	2	3	1	29	29	20	71	3	19	13	31	9	6	0	6	7	33	108	22	23	14	10	244	3	55	9	226	0	23	16	5	1	9	5	31	4	35	90	45	55	39	3	13	10	7	15	11	7	5	20	11	16	2	9	2	1	0	1	1	8	14	3	5	9	59	28	36	54	1	3	12	2	2	341	17	8	0	6	10	11	203	47	1	105	1	44	12	7	22	34	3	0	5	14	19	4	4	9	4	1	293
CGB	1	32	7	24	10	17	27	0	0	15	31	1	4	595	1	34	2	102	37	28	13	0	3	4	1	6	7	9	0	14	19	11	1	1	5	6	143	4	3	9	5	160	184	3.77	4	0	15	3	13	27	15	2	5	3	3	6	1	2	10	39	6	7	16	0	79	3	11	0	32	3	28	5	16	2	1	20	1	15	39	123	0	14	8	8.37	0	16	7	138	40	0	67	247	86	0	3	0	9	2	8	0	3	479	15	8	2	6	0	15	20	24	4	9	14	4	24	17	22	3	6	679	116	2	145	24	1	22	5	4	3	6	2	3	0	3	0	58	2	8	0	22	16	2	17	1	6	107	5	2	26	52	5	2	182	212	42	0	126	204	5	9	0	15	0	702	0	21	0	22	25	3	21	0	56	12	51	0	30	96	1	195	19	30	2	9	1	1	0	1	0	10	0	21	0	190	0	1	1	27	0	6	71	0	0	12	7	1	11	384	0	20	7	7	14	4	64	13	0	8	0	0	25	0	17	0	0	129	5	15	30	6	3	1	0	6	4	5	1	84	2	8	0	0	12	3	14	2	4	6	374	1	20	45	3.84	2	49	1	25	8	1	49	17	2	5	16	0	0	16	0	6	1	53	0	79	10	0	0	2	2	2	90	25	0	7	9	288	8	0	117	3	3	5	2	0	1	4	25	243	53	0	0	7	29	29	93	0
CHI3L2	65	702	297	40	299	1945	378	295	166	657	443	275	180	206	164	520	175	178	61	60	1003	128	16	452	109	274	10	120	24	193	453	6	24	638	130	1586	213	656	347	1193	957	4125	93	809	972	330	75	65	1182	91	124	401	1815	2297	1830	576	11	214	1245	524	231	2165	295	55	1793	138	156	38	211	80	45	351	36	370	446	70	719	92	144	157	367	6	124	3021	542	175	552	75	40	95	389	86	522	329	3	310	203	717	272	17	174	477	330	345	835	1793	387	32	1965	33	225	99	468	320	211	418	264	105	1623	2396	292	147	108	331	214	1319	594	161	469	633	208	176	708	43	1962	316	379	420	81	2611	132	45	8	76	334	15	142	548	295	70	1366	2348	227	38	18	164	341	27	266	25	5083	424	185	355	786	36	97	111	312	8525	700	2553	168	34	435	173	1219	440	31	262	83	521	59	79	6592	2307	8514	8	597	390	307	928	1035	666	119	3	154	195	385	430	144	7640	218	511	12	214	543	75	847	37	2867	59	70	3416	326	249	8	15	82915	150	451	3384	1044	296	617	57	91	74	983	554	172	658	568	67	36	532	634	1692	134	122	118	667	98	85	3922	295	3412	21	150	418	48	26	170	749	957	135	35	881	3491	18	41	62846	95	1266	21597	63	87	57	33	667	1741	244	133	62	1533	47	3886	1030	160	313	416	1959	2161	1521	715	2032	20	171	2	78	64	674	58	191	908	62	230	29	1748	1110	4635	348	5	102	54
CHRNA6	8	3	9	23	6	20	60	3	8	11	1	16	25	17	9	52	50	6	8	0	13	16	5	516	54	16	6	2	0	29	12	4	1	38	241	8	11	8	12	9	5	5	4	9	70	12	4	40	7	7	3	16	10	30	24	4	1	6	15	5	14	7	11	2	7	4	1	1	35	10	7	16	4	10	6	2	12	6	5	1	23	3	27	17	6	5	0	10	0	2	4	2	2	21	0	78	18	34	17	0	7	15	20	17	25	9	37	21	12	3	8	0	34	13	4	16	20	28	116	12	11	9	29	5	8	15	17	8	25	25	12	12	7	12	13	8	19	14	26	68	0	13	1	6	1	1	7	1	12	2	4	5	2	2	1	14	2	73	0	0	1	2	2	19	2	2	3	4	1	10	0	1	1	9	22	5	18	0	2	11	6	15	2	5	16	11	2	1	2	11	1	2	0	5	0	0	52	5	1	10	1	1	14	11	3	0	9	1	4	9	16	1	1	0	12	0	0	1	8	3	7	1	22	1	19	0	0	4	1	22	0	4	2	7	0	5	2	1	0	1	16	0	1	6	43	2	55	3	21	1	4	5	7	8	3	0	4	4	6	4	2	2	3	27	0	32	10	1	1	4	8	1	1	1	23	0	27	160	2	4	7	24	10	35	24	13	3	3	12	13	7	13	3	1	0	2	45	8	1	0	0	8	1	5	1
COL10A1	5105	359	881	6770	837	264	245	664	224	22	2118	70	3776	74	79	139	10202	489	255	2133	282	713	406	396	4845	1495	161	2523	668	16846	907	286	5226	529	3822	1493	3212	75	951	8039	863	4391	2283	1159	9381	472	1570	377	92	1694	1125	684	2713	1779	408	951	152	1222	231	12985	2115	13319	1473	86	5756	523	2795	320	14203	3565	2778	781	3353	156	358	1106	170	1028	1902	1999	140	5637	621	1049	79	5526	138	34588	56	1715	1556	242	25	6602	8374	72	1397	6645	798	549	146	11594	1572	741	173	3275	974	348	134	95	63	7805	7204	193	3130	534	6	106	5638	3116	3192	1923	1711	2793	54	4379	801	496	2377	696	1212	306	6835	3121	863	1194	155	290	3373	2933	407	7662	761	958	103	330	381	3	7378	379	3089	576	4	458	200	4206	108	347	59	254	18	2525	15	16051	0	6541	15	512	693	54	126	38	1340	2944	772	5	3143	781	846	5473	943	180	59	5434	70	1	8	1059	12	428	0	704	7	2466	73	254	68	864	9	2551	576	119	14855	285	435	4	2097	1911	35	31074	1789	91	9786	28	5362	6	3	419	469	3892	1756	74	622	6	273	3132	16	1475	821	1433	1	121	14	1604	315	4266	2	206	6	5773	3979	14	4830	371	1198	896	3082	3476	3813	2	2324	302	2954	11	1057	7	8636	15	81	2215	456	60	381	4419	90	158	14100	6	311	99	6648	2	222	1802	1215	30	2730	7154	69	561	307	1879	573	1502	1785	154	978	2754	48	266	1067	205	2	7	8	260	1950	13890	2	3	162	793	3692	33	2
CPA6	420	21	177	207	0	36	251	1	56	73	8	2	1	4	284	4	2	133	75	15	62	2	25	1	3	105	51	29	0	47	77	1	11	33	9	82	25	9	53	48	69	11	5	80	5	90	0	378	114	84	12	42	43	151	0	4	1	31	105	40	52	0	69	10	21	199	378	299	26	7	79	94	885	34	28	76	50	201	8	3	33	0	0	40	60	0	60	68	10	36	152	73	256	12	0	13	2	23	4	37	8	24	3	110	213	7	13	31	33	55	40	71	8	68	57	198	173	23	174	69	83	12	423	3	6	95	80	30	63	48	64	63	39	1	9	66	210	152	39	1	114	1	44	175	30	32	0	0	1	31	13	98	14	176	5	3	75	63	161	0	0	194	4	247	30	70	3	5	25	37	88	1	14	142	126	6	393	23	1655	823	73	213	0	2	120	138	14	73	40	91	17	331	28	76	18	9	69	13	3	7	20	3	3	122	68	1	64	131	9	5	244	56	12	3	4	8	6	10	2	0	19	10	61	38	201	222	2	92	171	6	12	285	8	129	30	1	9	25	9	106	6	9	9	255	58	43	103	398	27	2	5	7	90	26	35	3	105	45	35	68	172	0	2	1	3	7	213	19	46	35	142	37	0	56	60	164	5	327	16	269	193	66	185	376	19	2	0	19	120	5	28	303	130	15	14	174	55	20	12	5	0	0	0	9	2
CRHR2	0	1	0	12	0	0	0	0	3	0	1	0	22	4	0	3	1	0	0	0	4	0	0	0	0	0	1	0	0	7	0	0	2	3	6	2	0	1	4	0	1	4	6	11	5	11	1	4	0	1	2	1	4	1	2	1	0	5	2	5	0	5	1	1	1	5	1	1	7	30	0	0	4	2	1	0	1	0	0	0	1	1	0	0	0	4	0	2	2	6	0	2	0	4	4	1	3	3	2	6	0	2	2	1	0	0	12	1	0	2	2	0	7	0	68	74	0	74	4	3	1	2	1	4	1	1	3	6	1	9	1	0	1	22	0	4	4	2	3	3	1	5	1	0	0	4	0	0	1	0	0	15	0	1	0	0	0	0	0	0	0	0	3	11	2	6	3	3	2	10	1	18	2	1	1	0	3	0	65	2	1	1	0	1	1	0	3	1	3	2	0	1	0	1	7	6	2	0	56	1	1	48	1	1	0	3	4	0	9	10	1	1	0	2	9	0	1	0	2	0	0	28	5	1	27	0	46	0	10	3	37	0	11	0	0	7	0	0	1	2	2	33	20	1	0	0	0	5	0	1	0	3	6	1	1	1	3	2	0	0	0	0	0	4	2	0	3	0	25	0	0	6	0	1	7	0	3	2	0	2	4	2	0	0	6	7	5	0	0	1	1	11	0	46	2	0	1	8	1	0	0	1	1	0	75
CST5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	2	2	1	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	16	1	0	161	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	282058	0	47	1	5	1	0	0	1	34	0	16	0	0	1	9	0	9	1	0	0	0	0	0	2	0	1	1	2	0	0	0	5	0	1	0	1	0	0	0	0	6	0	0	0	510	0	0	362	0	0	13	1	0	0	0	0	0	6773	0	0	7	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	12819.3	0	2	358	0	0	0	0	2	7	5	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	2	0	1	0	0	23	0	1	0	0	0	0	0	357	2	0
CTRB1	92	0	0	0	0	0	0	0	4	0	0	0	2	0	51	45	0	1	0	0	0	0	0	0	0	0	0	0	69	0	0	0	20	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	1	0	59	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	2	0	19	0	0	0	54	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	37	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0
